train,test,model,median,p95,max,mean,n
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,mlp_deep,2.739,8.295,24.19,3.476,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,poly3,2.046,5.441,26.659,2.48,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,svm,1.661,3.485,8.822,1.781,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,mlp_deep,1.945,5.198,8.928,2.287,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,poly3,2.037,5.375,26.685,2.5,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,svm,1.64,3.535,8.408,1.794,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,mlp_deep,1.936,5.295,10.283,2.302,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,poly3,3.976,9.291,26.208,4.599,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,svm,3.817,7.875,16.56,4.156,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,mlp_deep,4.056,8.247,18.527,4.456,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,poly3,4.114,7.714,25.134,4.278,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,svm,3.453,6.115,8.522,3.533,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,mlp_deep,3.757,6.666,8.864,3.79,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,poly3,7.183,12.786,26.159,7.342,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,svm,6.942,10.988,15.733,6.943,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,mlp_deep,6.88,11.343,15.948,6.969,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,poly3,3.851,7.7,25.769,4.13,1485
IFRA-wb-NordK_92a_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,svm,3.42,5.653,7.823,3.451,1485
